db_id,question,query
medicine_enzyme_interaction,what is the id and name of the enzyme that can interact with the most medicines as an activator?,"select t1.id ,  t1.name from enzyme as t1 join medicine_enzyme_interaction as t2 on t1.id  =  t2.enzyme_id where t2.interaction_type  =  'activitor' group by t1.id order by count(*) desc limit 1"
workshop_paper,which college has the most authors with submissions?,select college from submission group by college order by count(*) desc limit 1
academic,"return me the papers by "" h. v. jagadish "" after 2000 .","select t3.title from writes as t2 join author as t1 on t2.aid  =  t1.aid join publication as t3 on t2.pid  =  t3.pid where t1.name  =  ""h. v. jagadish"" and t3.year  >  2000;"
tracking_orders,"list the name of all the distinct customers who have orders with status ""packing"".","select distinct t1.customer_name from customers as t1 join orders as t2 on t1.customer_id = t2.customer_id where t2.order_status = ""packing"""
scholar,sharon goldwater 's papers,"select distinct t2.paperid from writes as t2 join author as t1 on t2.authorid  =  t1.authorid where t1.authorname  =  ""sharon goldwater"";"
aircraft,what is the average number of international passengers of all airports?,select avg(international_passengers) from airport
driving_school,what are the first and last names of all customers with more than 2 payments?,"select t2.first_name ,  t2.last_name from customer_payments as t1 join customers as t2 on t1.customer_id = t2.customer_id group by t1.customer_id having count(*)  >  2;"
university_basketball,find the total number of students enrolled in the colleges that were founded after the year of 1850 for each affiliation type.,"select sum(enrollment) ,  affiliation from university where founded  >  1850 group by affiliation"
music_2,return all columns of the albums created in the year of 2012.,select * from albums where year  =  2012
assets_maintenance,how many assets can each parts be used in? list the part name and the number.,"select t1.part_name ,  count(*) from parts as t1 join asset_parts as t2 on t1.part_id  =  t2.part_id group by t1.part_name"
pets_1,list the maximum weight and type for each type of pet.,"select max(weight) ,  pettype from pets group by pettype"
flight_2,find all airlines that have fewer than 200 flights.,select t1.airline from airlines as t1 join flights as t2 on t1.uid  =  t2.airline group by t1.airline having count(*)  <  200
customers_card_transactions,return the type of transaction with the highest total amount.,select transaction_type from financial_transactions group by transaction_type order by sum(transaction_amount) desc limit 1
customers_card_transactions,what are the full names of customers who do not have any accounts?,"select customer_first_name ,  customer_last_name from customers except select t1.customer_first_name ,  t1.customer_last_name from customers as t1 join accounts as t2 on t1.customer_id  =  t2.customer_id"
device,give the average quantity of stocks.,select avg(quantity) from stock
customers_card_transactions,show all customer ids and the number of accounts for each customer.,"select customer_id ,  count(*) from accounts group by customer_id"
tracking_grants_for_research,what are the send dates for all documents that have a grant amount of more than 5000 and are involved in research?,select t1.sent_date from documents as t1 join grants as t2 on t1.grant_id  =  t2.grant_id join organisations as t3 on t2.organisation_id  =  t3.organisation_id join organisation_types as t4 on t3.organisation_type  =  t4.organisation_type where t2.grant_amount  >  5000 and t4.organisation_type_description  =  'research'
geo,which state has the smallest area that borders texas,"select state_name from state where area  =  ( select min ( area ) from state where state_name in ( select border from border_info where state_name  =  ""texas"" ) ) and state_name in ( select border from border_info where state_name  =  ""texas"" );"
car_1,what is the name of each continent and how many car makers are there in each one?,"select t1.continent ,  count(*) from continents as t1 join countries as t2 on t1.contid  =  t2.continent join car_makers as t3 on t2.countryid  =  t3.country group by t1.continent;"
riding_club,how many players are there?,select count(*) from player
debate,show different parties of people along with the number of people in each party.,"select party ,  count(*) from people group by party"
manufactory_1,what is the average price across all products?,select avg(price) from products
network_1,show the student ids and numbers of friends corresponding to each.,"select student_id ,  count(*) from friend group by student_id"
pets_1,find the maximum weight for each type of pet. list the maximum weight and pet type.,"select max(weight) ,  pettype from pets group by pettype"
product_catalog,name all the products with next entry id greater than 8.,select catalog_entry_name from catalog_contents where next_entry_id  >  8
product_catalog,find the catalog publisher that has the most catalogs.,select catalog_publisher from catalogs group by catalog_publisher order by count(*) desc limit 1
orchestra,what are the names of conductors who have conducted at more than one orchestra?,select t1.name from conductor as t1 join orchestra as t2 on t1.conductor_id  =  t2.conductor_id group by t2.conductor_id having count(*)  >  1
academic,return me the papers on vldb conference after 2000 .,"select t2.title from publication as t2 join conference as t1 on t2.cid  =  t1.cid where t1.name  =  ""vldb"" and t2.year  >  2000;"
manufactory_1,compute the average price of all products with manufacturer code equal to 2.,select avg(price) from products where manufacturer  =  2
poker_player,"what are the earnings of poker players, ordered descending by value?",select earnings from poker_player order by earnings desc
manufacturer,find the names of furnitures whose prices are lower than the highest price.,select t1.name from furniture as t1 join furniture_manufacte as t2 on t1.furniture_id  =  t2.furniture_id where t2.price_in_dollar  <  (select max(price_in_dollar) from furniture_manufacte)
program_share,list the names of all the channels owned by either cctv or hbs,select name from channel where owner  =  'cctv' or owner  =  'hbs'
cre_drama_workshop_groups,give me all the phone numbers and email addresses of the workshop groups where services are performed.,"select t1.store_phone ,  t1.store_email_address from drama_workshop_groups as t1 join services as t2 on t1.workshop_group_id  =  t2.workshop_group_id"
college_2,"how many instructors are in the department with the highest budget, and what is their average salary?","select avg(t1.salary) ,  count(*) from instructor as t1 join department as t2 on t1.dept_name  =  t2.dept_name order by t2.budget desc limit 1"
party_host,show the locations of parties and the names of the party hosts in ascending order of the age of the host.,"select t3.location ,  t2.name from party_host as t1 join host as t2 on t1.host_id  =  t2.host_id join party as t3 on t1.party_id  =  t3.party_id order by t2.age"
flight_4,what is the name of the country with the most number of home airlines?,select country from airlines group by country order by count(*) desc limit 1
